种群规模,交叉率,变异率,选择策略,交叉策略,变异策略,最短距离,耗时(秒)
200,0.7,0.2,truncation,ox,inverse,487.99,10.042
200,0.7,0.2,truncation,obx,swap,583.68,8.291
200,0.7,0.2,truncation,obx,inverse,516.68,9.535
200,0.7,0.2,tournament,ox,swap,521.21,14.954
200,0.7,0.2,tournament,ox,inverse,451.77,13.986
200,0.7,0.2,tournament,obx,swap,514.25,11.476
200,0.7,0.2,tournament,obx,inverse,506.5,10.912
200,0.7,0.2,ranking,ox,swap,451.77,15.115
200,0.7,0.2,ranking,ox,inverse,451.77,16.439
200,0.7,0.2,ranking,obx,swap,529.62,10.779
200,0.7,0.2,ranking,obx,inverse,483.34,10.812
200,0.9,0.05,default,ox,swap,694.26,18.754
200,0.9,0.05,default,ox,inverse,752.12,16.782
200,0.9,0.05,default,obx,swap,571.45,9.965
200,0.9,0.05,default,obx,inverse,709.14,10.106
200,0.9,0.05,truncation,ox,swap,536.7,11.973
200,0.9,0.05,truncation,ox,inverse,466.66,12.049
200,0.9,0.05,truncation,obx,swap,692.28,9.872
200,0.9,0.05,truncation,obx,inverse,485.24,9.864
200,0.9,0.05,tournament,ox,swap,458.53,13.734
200,0.9,0.05,tournament,ox,inverse,458.57,13.845
200,0.9,0.05,tournament,obx,swap,550.74,12.566
200,0.9,0.05,tournament,obx,inverse,451.77,11.805
200,0.9,0.05,ranking,ox,swap,451.77,13.118
200,0.9,0.05,ranking,ox,inverse,451.77,13.843
200,0.9,0.05,ranking,obx,swap,504.43,9.92
200,0.9,0.05,ranking,obx,inverse,541.75,10.137
200,0.9,0.2,default,ox,swap,726.78,16.56
200,0.9,0.2,default,ox,inverse,775.14,16.575
200,0.9,0.2,default,obx,swap,622.01,10.073
200,0.9,0.2,default,obx,inverse,585.69,10.805
200,0.9,0.2,truncation,ox,swap,451.77,15.543
200,0.9,0.2,truncation,ox,inverse,460.67,15.205
200,0.9,0.2,truncation,obx,swap,579.25,11.991
200,0.9,0.2,truncation,obx,inverse,451.77,11.73
200,0.9,0.2,tournament,ox,swap,534.09,17.459
200,0.9,0.2,tournament,ox,inverse,451.77,16.402
200,0.9,0.2,tournament,obx,swap,510.36,13.869
200,0.9,0.2,tournament,obx,inverse,453.9,13.845
200,0.9,0.2,ranking,ox,swap,512.02,18.027
200,0.9,0.2,ranking,ox,inverse,526.84,17.551
200,0.9,0.2,ranking,obx,swap,553.36,10.273
200,0.9,0.2,ranking,obx,inverse,517.65,10.506
